protein,_pdbx_database_status.recvd_initial_deposition_date ,_entity_src_gen.pdbx_gene_src_scientific_name ,_entity_src_gen.pdbx_gene_src_ncbi_taxonomy_id ,_entity_src_gen.pdbx_host_org_scientific_name ,_entity_src_gen.pdbx_host_org_ncbi_taxonomy_id ,_exptl_crystal.density_Matthews ,_exptl_crystal.density_percent_sol ,_exptl_crystal_grow.pH ,_exptl_crystal_grow.temp ,_diffrn.ambient_temp ,_diffrn_detector.pdbx_collection_date ,_diffrn_radiation_wavelength.wavelength ,_reflns.d_resolution_high ,_reflns.d_resolution_low ,_reflns.pdbx_redundancy ,_refine.ls_d_res_high ,_refine.ls_d_res_low ,_refine.ls_R_factor_obs ,_refine.ls_R_factor_R_free ,_refine.ls_R_factor_R_work ,_refine.pdbx_ls_cross_valid_method ,_refine.pdbx_method_to_determine_struct ,_refine.pdbx_solvent_vdw_probe_radii ,_refine.pdbx_solvent_shrinkage_radii ,_refine_hist.d_res_high ,_refine_hist.d_res_low ,_refine_hist.pdbx_number_atoms_protein ,_refine_hist.pdbx_number_atoms_ligand ,_refine_hist.number_atoms_solvent 
5vn5,2017-04-28,'SPHINGOBIUM SP. SYK-6',627192,'ESCHERICHIA COLI BL21(DE3)',469008,2.28,46.16,7.5,295,100,2013-09-23,0.9795,1.900,59.420,6.200,1.9000,54.6140,0.1638,0.1890,0.1624,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.1100,0.9000,1.9000,54.6140,7838,4,535
6cgm,2018-02-20,'BACILLUS SUBTILIS',1423,'ESCHERICHIA COLI',469008,2.59,52.45,7.0,298,100,2016-12-09,1.03320,2.000,50.000,20.900,2.0000,50.0,0.1947,0.2347,0.1926,THROUGHOUT,'MOLECULAR REPLACEMENT',1.2000,0.8000,2.0000,50.0,5342,12,325
3f67,2008-11-05,'KLEBSIELLA PNEUMONIAE SUBSP. PNEUMONIAE MGH 78578',272620,'ESCHERICHIA COLI',562,2.82,56.46,7.0,289,100,2008-10-05,0.9792,1.74,47.85,14.0,1.74,47.85,0.169,0.198,0.168,THROUGHOUT,SAD,1.20,0.80,1.74,47.85,1881,14,295
1qq9,1999-06-12,,,,,2.35,47.74,,298.0,298.0,1998-02-16,1.083,1.53,35.0,5,1.53,32.00,0.148,0.173,0.148,THROUGHOUT,,,,1.53,32.00,2046,12,291
4eby,2012-03-25,'ARABIDOPSIS THALIANA',3702,'SPODOPTERA FRUGIPERDA',7108,3.08,60.00,6.5,298.0,298.00,2011-03-15,1.0,1.642,99.0,3.8,1.650,23.213,0.1718,0.1890,0.1709,,SAD,1.10,0.83,1.650,23.213,1546,137,348
4iya,2013-01-28,'STAPHYLOCOCCUS PHAGE PVL',71366,'ESCHERICHIA COLI',562,2.20,44.01,4.00,285,100,2008-11-10,0.94800,1.5,30.84,6.9,1.55,22.69,0.1665,0.1893,0.1653,THROUGHOUT,'MOLECULAR REPLACEMENT',,,1.55,22.69,2242,30,297
2hp0,2006-07-17,,,,,2.31,46.78,8.5,298,,,,1.5,62.02,,1.50,62.02,0.15234,0.17386,0.15119,THROUGHOUT,MAD,1.20,0.80,1.50,62.02,6709,54,948
5lgb,2016-07-06,,,,,2.13,42.29,8.0,293,100,2015-06-12,0.98,1.8,40.72,10.1,1.80,40.72,0.177,0.199,0.176,THROUGHOUT,'MOLECULAR REPLACEMENT',,,1.80,40.72,3539,81,166
6c4v,2018-01-12,'MYCOBACTERIUM TUBERCULOSIS',83332,'ESCHERICHIA COLI BL21(DE3)',469008,2.1,41.6,6.5,293,100,2017-10-17,0.97872,1.90,30.00,17.7,1.90,29.09,0.19478,0.21731,0.19346,THROUGHOUT,SAD,1.20,0.80,1.90,29.09,610,2,36
4dqa,2012-02-15,'BACTEROIDES OVATUS',411476,'ESCHERICHIA COLI',562,2.53,51.34,7.0,293,100,2011-12-01,0.97916,1.50,29.183,9.000,1.5000,29.183,0.1569,0.1764,0.1558,,SAD,0.9000,0.6000,1.5000,29.183,2681,0,438
3n6y,2010-05-26,'PSEUDOMONAS AERUGINOSA',287,'ESCHERICHIA COLI',562,2.21,44.38,6.6,277,100,2010-05-13,0.97925,1.50,28.621,3.700,1.500,28.621,0.182,0.212,0.181,THROUGHOUT,SAD,1.200,0.800,1.500,28.621,1930,15,374
5yqj,2017-11-06,'SACCHAROMYCES CEREVISIAE (STRAIN ATCC 204508 / S288C)',559292,'ESCHERICHIA COLI BL21(DE3)',469008,2.06,40.32,5.0,295,100,2015-12-13,0.97950,1.5,50,4.1,1.500,29.752,0.1605,0.2106,0.1579,'FREE R-VALUE',SAD,1.11,0.90,1.500,29.752,4131,0,837
1iw0,2002-04-04,'CORYNEBACTERIUM DIPHTHERIAE',1717,'ESCHERICHIA COLI BL21(DE3)',469008,2.18,43.05,5.8,303,98.0,2001-12-06,0.9,1.3,99.0,,1.40,12.00,0.168,0.19187,0.16541,THROUGHOUT,,1.40,0.80,1.40,12.00,4996,185,657
2z0z,2007-05-07,'THERMUS THERMOPHILUS',300852,'ESCHERICHIA COLI',562,3.30,62.71,,293,100,2002-03-18,1.54,2.0,50,6.4,2.0,30.95,,0.191,0.17,THROUGHOUT,'MOLECULAR REPLACEMENT',,,2.0,30.95,1569,30,333
4qrl,2014-07-01,'BACTEROIDES UNIFORMIS ATCC 8492',411479,'ESCHERICHIA COLI',562,2.06,40.31,4.6,277,100,2013-07-02,0.91837,1.79,39.225,6.34,1.7900,39.225,0.1727,0.2199,0.1703,THROUGHOUT,'MOLECULAR REPLACEMENT',,,1.7900,39.225,888,12,112
5kf6,2016-06-12,'SINORHIZOBIUM MELILOTI (STRAIN SM11)',707241,'ESCHERICHIA COLI',562,2.37,48.16,7.5,295,100,2014-03-21,1.00,1.700,60.350,3.600,1.7000,51.3760,0.1920,0.2219,0.1904,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.1100,0.9000,1.7000,51.3760,17771,293,1286
5t8c,2016-09-07,'LEGIONELLA PNEUMOPHILA',446,'ESCHERICHIA COLI',469008,2.07,40.48,8.4,293,100,2015-05-29,0.6326,1.48,50,13.7,1.481,33.548,0.1601,0.1896,0.1588,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.11,0.90,1.481,33.548,2314,0,350
6bc7,2017-10-20,'ENTEROBACTER CLOACAE',550,'ESCHERICHIA COLI',562,2.30,46.57,5.6,285,100,2016-07-10,1.5418,1.800,50.000,2.900,1.800,35.615,0.1508,0.1857,0.1491,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.11,0.90,1.800,35.615,2028,35,402
1m15,2002-06-17,'LIMULUS POLYPHEMUS',6850,'ESCHERICHIA COLI',562,1.98,46.36,8,,100,1999-04-22,0.95,1.2,20,,1.20,6.00,0.127,0.1395,0.1248,THROUGHOUT,'MOLECULAR REPLACEMENT',,,1.20,6.00,2854,48,557
4tvv,2014-06-28,'LEGIONELLA PNEUMOPHILA SUBSP. PNEUMOPHILA',272624,'ESCHERICHIA COLI',562,2.46,50.08,,293,100,2012-06-17,1.000,1.4,50,4.5,1.400,48.259,0.1435,0.1686,0.1434,THROUGHOUT,'MOLECULAR REPLACEMENT',1.10,0.90,1.400,48.259,9244,59,1464
3l9b,2010-01-04,'RATTUS NORVEGICUS',10116,'ESCHERICHIA COLI',562,2.30,46.49,8.5,277,100,2009-03-13,1.5418,1.950,30.00,3.01,1.950,24.937,0.183,0.229,0.181,THROUGHOUT,'MOLECULAR REPLACEMENT',1.000,0.800,1.950,24.937,1015,1,143
1fye,2000-09-29,'SALMONELLA TYPHIMURIUM',602,'ESCHERICHIA COLI',562,2.38,48.24,9.0,293,100,1998-06-06,1.000,1.2,20.0,2,1.20,10.00,0.1590000,0.1910000,,'FREE R','AB INITIO',,,1.20,10.00,1684,1,192
2qpu,2007-07-25,'HORDEUM VULGARE',4513,'PICHIA PASTORIS',4922,2.27,45.91,7.5,290,100,2004-12-12,0.9330,1.7,46.26,4.6,1.70,46.26,0.178,0.209,0.178,THROUGHOUT,'MOLECULAR REPLACEMENT',,,1.70,46.26,9423,204,1726
4m8k,2013-08-13,'BACTEROIDES UNIFORMIS',411479,'ESCHERICHIA COLI',562,2.07,40.49,5.6,293,100,2013-06-06,,1.90,29.142,,1.9000,29.142,0.1625,0.2062,0.1601,THROUGHOUT,MAD,1.2000,0.8000,1.9000,29.142,3425,14,317
4lzl,2013-07-31,'STREPTOCOCCUS PNEUMONIAE 2061617',914130,'ESCHERICHIA COLI',469008,2.23,44.93,8.5,298,100,2011-10-10,0.97931,1.55,33.85,2.9,1.55,27.352,0.1431,0.1614,0.1411,THROUGHOUT,'MOLECULAR REPLACEMENT',0.40,0.00,1.55,27.352,1007,6,189
3w0k,2012-10-31,'CALDANAEROBIUS POLYSACCHAROLYTICUS',44256,'ESCHERICHIA COLI',562,2.53,51.39,7.5,293,100,2009-11-25,1.0000,1.6,50,3.8,1.60,19.14,0.176,0.188,0.176,THROUGHOUT,'MOLECULAR REPLACEMENT',,,1.60,19.14,5457,16,626
1yd0,2004-12-23,'THERMOTOGA MARITIMA',2336,'ESCHERICHIA COLI',562,3.7,66,8.5,295,,2004-01-01,1.1,1.5,30,,1.50,15.00,0.16761,0.18456,0.16672,THROUGHOUT,'FOURIER SYNTHESIS',1.20,0.80,1.50,15.00,738,10,132
5joq,2016-05-02,'LISTERIA MONOCYTOGENES SEROVAR 1/2A (STRAIN ATCC BAA-679 / EGD-E)',169963,'ESCHERICHIA COLI',469008,3.74,67.08,7,298,100,2013-02-17,0.97857,1.990,33.410,12.00,1.99,33.41,0.152,0.171,0.151,THROUGHOUT,'MOLECULAR REPLACEMENT',1.11,0.90,1.99,33.41,2008,14,343
4hbz,2012-09-28,'NAKAMURELLA MULTIPARTITA',479431,'ESCHERICHIA COLI',469008,1.92,36.06,8.5,289,100,2012-07-19,0.97929,1.550,50.000,12.500,1.5500,38.1600,0.1421,0.1614,0.1411,THROUGHOUT,SAD,1.2000,0.8000,1.5500,38.1600,1249,30,207
2cd7,2006-01-23,'STAPHYLOCOCCUS AUREUS',1280,'ESCHERICHIA COLI',511693,1.69,26.52,8.00,,100.0,2005-02-18,0.8123,1.500,15.000,4.900,1.50,14.90,0.185,0.218,0.184,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.50,14.90,1020,1,164
1ryq,2003-12-22,'PYROCOCCUS FURIOSUS',2261,'ESCHERICHIA COLI',562,1.93,36.21,6.60,297,100.0,2003-08-08,1.000,1.380,50.000,,1.38,39.53,0.19374,0.20435,0.19321,THROUGHOUT,SAD,1.40,0.80,1.38,39.53,489,1,34
2a3m,2005-06-25,'DESULFOVIBRIO DESULFURICANS SUBSP. DESULFURICANS STR.',207559,'DESULFOVIBRIO DESULFURICANS SUBSP. DESULFURICANS STR. G20',207559,1.95,36.93,7.2,298,,,0.97856,1.50,50.00,6.400,1.500,34.960,0.177,0.195,0.175,THROUGHOUT,'MOLECULAR REPLACEMENT',1.200,0.800,1.500,34.960,804,172,77
4fr9,2012-06-26,'BACTEROIDES FRAGILIS',272559,'ESCHERICHIA COLI',562,2.31,46.83,8.5,277,100,2012-04-10,0.97919,1.20,115.061,5.100,1.2000,115.061,0.1470,0.1717,0.1458,THROUGHOUT,SAD,1.4000,0.8000,1.2000,115.061,1114,0,188
3eur,2008-10-10,'BACTEROIDES FRAGILIS',272559,'ESCHERICHIA COLI',562,2.19,43.74,7.5,277,100,2008-09-30,0.9794,1.30,50,8.00,1.30,49.33,0.14032,0.17009,0.13872,THROUGHOUT,SAD,1.20,0.80,1.30,49.33,1128,0,230
2jcb,2006-12-21,'BACILLUS ANTHRACIS',198094,'ESCHERICHIA COLI BL21(DE3)',469008,2.19,44,5.50,,100.0,2004-09-05,0.934,1.600,20.000,2.500,1.60,18.69,0.192,0.238,0.189,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.60,18.69,3168,66,324
4jyk,2013-03-29,'ESCHERICHIA COLI',83333,'ESCHERICHIA COLI',469008,2.60,52.74,5.5,289,100,2012-03-02,0.97856,1.5,40,3.8,1.70,36.75,0.12213,0.16961,0.11962,THROUGHOUT,,1.20,0.80,1.70,36.75,3101,51,279
5fjd,2015-10-07,'METHYLOSINUS TRICHOSPORIUM OB3B',595536,'ESCHERICHIA COLI',469008,1.93,36,,,100,2012-09-28,0.9795,1.50,44.95,3.7,1.50,52.96,0.12535,0.17913,0.12249,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.50,52.96,3140,0,406
3hwu,2009-06-18,'RALSTONIA EUTROPHA',264198,'ESCHERICHIA COLI',562,1.89,35.09,6.2,277,100,2009-03-19,,1.30,26.948,2.71,1.300,26.948,0.121,0.140,0.119,THROUGHOUT,MAD,1.200,0.800,1.300,26.948,1101,0,155
5cm7,2015-07-16,'ACINETOBACTER BAUMANNII',470,'ESCHERICHIA COLI',469008,2.29,46,7.5,290,100,2015-06-22,1.5418,1.550,50,11.1,1.5500,44.5010,0.1425,0.1674,0.1419,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.1100,0.9000,1.5500,44.5010,4619,118,780
4s1m,2015-01-14,'ENTAMOEBA HISTOLYTICA',5759,'ESCHERICHIA COLI',511693,2.36,47.99,7.5,273,100,2014-07-04,0.976,1.65,50,4.1,1.64,50,0.17474,0.19756,0.17351,THROUGHOUT,'MOLECULAR REPLACEMENT',1.30,1.00,1.64,50,4333,2,256
3pcv,2010-10-22,'HOMO SAPIENS',9606,'SCHIZOSACCHAROMYCES POMBE',4896,4.91,74.77,6.5,293,100,2008-09-05,0.97,1.9,20.4,9.9,1.90,18.78,0.17919,0.19763,0.17819,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.90,18.78,1110,156,94
2erf,2005-10-24,'HOMO SAPIENS',9606,'DROSOPHILA MELANOGASTER',7227,2.2,42.7,4.6,300,100,2005-07-07,1.00931,1.45,30,3.8,1.45,22.86,0.18559,0.21672,0.18301,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.45,22.86,1609,0,217
5lus,2016-09-09,'PELECANUS CRISPUS',36300,'ESCHERICHIA COLI BL21(DE3)',469008,2.31,46.90,3.6,298,100,2015-06-07,0.9754,1.433,36.2,3.2,1.433,36.2,0.1578,0.1717,0.1570,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.11,0.90,1.433,36.2,3918,0,661
4yyf,2015-03-23,'MYCOBACTERIUM SMEGMATIS (STRAIN ATCC 700084 / MC(2)155)',246196,'ESCHERICHIA COLI',562,2.61,52.90,7.0,289,100,2015-03-15,0.97918,1.92,36.5,6.1,1.920,36.410,0.1805,0.2101,0.1790,'FREE R-VALUE',SAD,1.11,0.90,1.920,36.410,7044,36,553
5g3x,2016-05-02,'CYDIA POMONELLA GRANULOVIRUS',28289,'SPODOPTERA FRUGIPERDA',7108,1.47,16.6,7.0,,100,2009-04-05,1.00,1.66,27.28,8.7,1.660,27.276,0.1535,0.1922,0.1492,,'MOLECULAR REPLACEMENT',1.11,0.90,1.660,27.276,1871,0,119
4g3a,2012-07-13,'DROSOPHILA MELANOGASTER',7227,'ESCHERICHIA COLI',469008,2.40,48.72,6.5,293,100,2009-12-16,1.0,1.994,82.0,5.8,1.994,48.789,0.1897,0.2286,0.1876,,'FOURIER SYNTHESIS',1.11,0.90,1.994,48.789,3676,12,211
2x4k,2010-02-01,'STAPHYLOCOCCUS AUREUS',1280,'ESCHERICHIA COLI',469008,1.98,37.83,5,,100,2007-11-16,0.6,1.10,28.40,11.7,1.10,28.46,0.18800,0.19533,0.18763,THROUGHOUT,MAD,1.40,0.80,1.10,28.46,954,19,69
4y7s,2015-02-16,'CANDIDA ALBICANS',5476,'ESCHERICHIA COLI',562,2.61,52.89,7.5,293,100,2014-12-02,1.5418,2.000,40.000,15.100,2.0,28.6720,0.1545,0.1916,0.1526,'FREE R-VALUE',SAD,1.1100,0.9000,2.0,28.6720,2437,230,241
4xab,2014-12-13,'MICROMONOSPORA CARBONACEA',47853,'ESCHERICHIA COLI',469008,2.07,40.56,8.0,293,100,2011-10-07,1.078,1.750,50.000,3.600,1.750,38.0440,0.1765,0.2037,0.1743,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.0000,0.6000,1.750,38.0440,1982,11,171
5irs,2016-03-14,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',562,2.32,46.94,,293,100,2012-11-02,0.979,1.796,50,6.0,1.796,35.451,0.1713,0.2092,0.1670,'FREE R-VALUE','FOURIER SYNTHESIS',1.11,0.90,1.796,35.451,911,16,67
2ehg,2007-03-06,'SULFOLOBUS TOKODAII',273063,'ESCHERICHIA COLI',562,2.08,40.86,10.5,277,,,,1.52,26.52,,1.60,26.52,0.194,0.218,0.194,THROUGHOUT,MAD,,,1.60,26.52,1180,0,139
3k0b,2009-09-24,'LISTERIA MONOCYTOGENES STR. 4B',265669,'ESCHERICHIA COLI BL21',511693,2.24,45.17,7.5,291,100,2009-08-07,0.9794,1.50,40,3.0,1.50,40.00,0.16591,0.19771,0.16417,THROUGHOUT,SAD,1.40,0.80,1.50,40.00,2998,10,520
5il2,2016-03-04,,,,,2.66,53.70,5.7,291,100,2015-12-03,0.9785,1.606,45,13.2,1.606,38.247,0.1855,0.1992,0.1848,'FREE R-VALUE',SAD,1.11,0.90,1.606,38.247,3970,42,376
4b5o,2012-08-07,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',469008,2.10,41.42,8.0,,100,2012-02-10,0.8000,1.05,40.00,7.6,1.050,35.649,0.1320,0.1574,0.1306,,SAD,0.30,0.05,1.050,35.649,1543,52,401
3rpe,2011-04-26,'YERSINIA PESTIS',632,'ESCHERICHIA COLI',562,1.96,37.40,5.0,295,100,2011-04-14,0.97856,1.10,30.00,5.6,1.10,28.80,0.10047,0.11737,0.09960,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.10,28.80,3125,113,473
3jrv,2009-09-09,'VACCINIA VIRUS WR',10254,'ESCHERICHIA COLI',562,2.10,41.38,5.25,291,100,2009-02-25,0.978,1.60,55.6,7.0,1.600,55.550,0.143,0.190,0.141,THROUGHOUT,SAD,1.400,0.800,1.600,55.550,2505,0,257
4cdj,2013-11-01,'MUS MUSCULUS',10090,'HOMO SAPIENS',9606,2.27,46,,,100,,1,1.50,45.57,2.7,1.500,45.567,0.1625,0.1773,0.1616,,OTHER,1.11,0.90,1.500,45.567,2358,23,296
1ixh,1996-08-01,'ESCHERICHIA COLI',562,'ESCHERICHIA COLI',562,2.4,40.,4.5,,100,1996-01,1.0800,0.98,19.4,9.4,0.98,19.4,0.1140000,0.1410000,,'FREE R','MOLECULAR REPLACEMENT',,,0.98,19.4,2448,5,0
4jgl,2013-03-01,'BACTEROIDES EGGERTHII',483216,'ESCHERICHIA COLI',562,2.39,48.59,,277,100,2012-09-20,,1.25,28.331,11.000,1.2500,28.331,0.1350,0.1530,0.1340,THROUGHOUT,MAD,1.4000,0.8000,1.2500,28.331,1189,15,233
1d5t,1999-10-11,'BOS TAURUS',9913,'ESCHERICHIA COLI',562,1,47.23,5.5,295.5,97.0,1998-02-15,0.79,1.04,35.0,3.0,1.04,10.00,0.1730000,0.2090000,,'FREE R','MOLECULAR REPLACEMENT',,,1.04,10.00,3430,10,387
3qm1,2011-02-03,'LACTOBACILLUS JOHNSONII',33959,'ESCHERICHIA COLI',469008,2.11,41.81,8.5,298,100,2010-12-08,1.5418,1.82,23.80,6.1,1.817,23.067,0.1491,0.1901,0.1470,,'MOLECULAR REPLACEMENT',1.11,0.90,1.817,23.067,1951,77,173
2ce2,2006-02-02,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',562,2.1,39.6,7.60,,100.0,2004-04-20,0.82655,0.990,50.000,4.700,1.00,50.00,0.145,0.163,0.144,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.00,50.00,1317,50,263
3sgh,2011-06-14,'BACTEROIDES THETAIOTAOMICRON',818,'ESCHERICHIA COLI',562,2.17,43.37,6.5,277,100,2011-05-26,,1.70,29.633,,1.7000,29.633,0.1404,0.1742,0.1387,THROUGHOUT,MAD,1.4000,0.8000,1.7000,29.633,7530,20,1355
4i6x,2012-11-30,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',511693,2.16,43.18,7,294,100,2010-10-21,0.9770,1.50,50,5.7,1.50,45.45,0.19330,0.23681,0.19117,THROUGHOUT,SAD,1.20,0.80,1.50,45.45,936,0,125
1nki,2003-01-03,'PSEUDOMONAS AERUGINOSA',208964,'ESCHERICHIA COLI BL21(DE3)',469008,1.94,35.94,7.0,298,113,2002-06-20,0.9000,0.95,30.0,8.4,0.95,30.00,0.147,0.1764,,'FREE R','AB INITIO',,,0.95,30.00,2124,18,419
5c54,2015-06-19,'CORYNEBACTERIUM GLUTAMICUM ATCC 13032',196627,'ESCHERICHIA COLI',562,2.43,49.34,9.0,291.15,100,2013-11-28,,1.600,50.000,7.600,1.6010,34.2680,0.1648,0.1937,0.1633,'FREE R-VALUE',MAD,1.1100,0.9000,1.6010,34.2680,18295,60,2978
2q4z,2007-05-31,'RATTUS NORVEGICUS',10116,'ESCHERICHIA COLI',562,2.33,47.27,,,,,.,,,,1.800,40.500,0.138,0.191,0.138,THROUGHOUT,'RE-REFINEMENT USING ENSEMBLE MODEL',,,1.800,40.500,4862,27,552
5m89,2016-10-28,'CHAETOMIUM THERMOPHILUM',209285,'CHAETOMIUM THERMOPHILUM',209285,2.40,48.78,4.0,293,100,2013-05-10,1.0,1.6,50,6.7,1.6050,43.2990,0.1662,0.1857,0.1651,THROUGHOUT,'MOLECULAR REPLACEMENT',1.1100,0.9000,1.6050,43.2990,4896,0,738
1wc2,2004-11-08,,,,,2.4,48.2,5.50,,100.0,1999-06-15,0.933,1.200,15.000,6.400,1.20,15.00,0.147,0.162,0.147,THROUGHOUT,SIRAS,1.40,0.80,1.20,15.00,1368,18,305
4h3w,2012-09-14,'PARABACTEROIDES DISTASONIS',435591,'ESCHERICHIA COLI',,2.58,52.24,8.5,277,100,2012-08-02,0.97885,1.87,48.317,,1.8700,48.317,0.1984,0.2382,0.1963,THROUGHOUT,SAD,1.2000,0.8000,1.8700,48.317,4836,0,393
2xmz,2010-07-30,'STAPHYLOCOCCUS AUREUS',1280,'ESCHERICHIA COLI',469008,1.9,35.5,7.5,,100,2008-09-10,1.5418,1.94,19.73,4.1,1.94,19.73,0.18642,0.24073,0.18341,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.94,19.73,2162,0,185
4ruq,2014-11-21,,,,,2.51,51.08,7.5,277,100,2013-07-05,0.976251,1.35,40.8,8.1,1.35,30.00,0.17310,0.18501,0.17248,THROUGHOUT,MIR,1.20,0.80,1.35,30.00,3549,96,384
6ao1,2017-08-15,'PARABURKHOLDERIA PHYMATUM',148447,'ESCHERICHIA COLI',562,2.28,46.16,8.5,289,100,2017-08-07,0.978560,1.800,35.057,2.926,1.8000,35.0570,0.1641,0.2006,0.1636,THROUGHOUT,'MOLECULAR REPLACEMENT',1.1100,0.9000,1.8000,35.0570,10847,45,1199
5a10,2015-04-27,'THLASPI ARVENSE',13288,'ESCHERICHIA COLI',469008,2.37,48,5.6,,100,2013-12-05,1.0,1.42,20.00,6.7,1.423,19.875,0.1583,0.1756,0.1574,,'MOLECULAR REPLACEMENT',1.11,0.90,1.423,19.875,2765,5,361
4off,2014-01-14,'PLASMODIUM FALCIPARUM',5833,'ESCHERICHIA COLI',562,1.82,32.24,5.5,295.1,77,2011-12-14,0.97931,1.888,33.63,6.9,1.888,27.236,0.1798,0.2282,0.1774,,'MOLECULAR REPLACEMENT',1.11,0.90,1.888,27.236,1026,20,51
3w1o,2012-11-19,'NEISSERIA MENINGITIDIS MC58',122586,'ESCHERICHIA COLI',562,3.21,61.71,6.5,298,100,2011-09-21,1,1.85,50,5.4,1.85,50,0.18734,0.21825,0.18564,THROUGHOUT,SAD,1.40,0.80,1.85,50,1916,2,313
1x6o,2004-08-11,'LEISHMANIA BRAZILIENSIS',5660,'ESCHERICHIA COLI',562,2.9,56.6,4.0,277,,,,1.6,44,3.1,1.60,10.00,0.1765,0.21398,0.17444,THROUGHOUT,MAD,1.20,0.80,1.60,10.00,1070,7,325
5lre,2016-08-18,,,,,2.56,52.02,6.8,289,293,2015-09-09,1.0403,1.8,38.41,4.7,1.80,38.41,0.16182,0.18598,0.16057,THROUGHOUT,'FOURIER SYNTHESIS',1.20,0.80,1.80,38.41,6590,75,319
2xse,2010-09-28,'LEISHMANIA TARENTOLAE',5689,'ESCHERICHIA COLI',511693,2.83,56,7.5,,77,2010-03-20,0.978,1.90,20.00,5.2,1.90,58.32,0.17553,0.20038,0.17420,THROUGHOUT,SAD,1.20,0.80,1.90,58.32,1320,10,164
4k7j,2013-04-17,'NEISSERIA MENINGITIDIS',1095679,'ESCHERICHIA COLI',562,2.11,41.61,7.5,291.15,100,,1.5418,1.968,48.641,,1.968,48.641,0.1722,0.2247,0.1665,,'MOLECULAR REPLACEMENT',1.11,0.90,1.968,48.641,5314,67,460
2b9w,2005-10-13,'PROPIONIBACTERIUM ACNES',1747,'ESCHERICHIA COLI BL21(DE3)',469008,3.50,64.89,8.5,283,100,2004-12-08,1.5418,1.95,50,,1.95,35.87,0.16543,0.19045,0.16409,THROUGHOUT,SIRAS,1.20,0.80,1.95,35.87,3455,97,465
4f0w,2012-05-05,'PSEUDOMONAS AERUGINOSA',208964,'ESCHERICHIA COLI',562,2.18,43.67,7.0,293,100,2012-04-07,0.9790,1.24,50.0,3.4,1.240,29.887,0.1833,0.1920,0.1828,,'MOLECULAR REPLACEMENT',1.00,0.73,1.240,29.887,1133,13,235
3s4k,2011-05-19,'MYCOBACTERIUM TUBERCULOSIS',1773,'ESCHERICHIA COLI',562,2.07,40.62,6,289,100,2011-05-14,0.97,1.700,50.000,4.300,1.7000,38.82,0.1727,0.1970,0.1714,THROUGHOUT,'MOLECULAR REPLACEMENT',1.4000,0.8000,1.7000,38.82,1874,30,221
1nwa,2003-02-05,'MYCOBACTERIUM TUBERCULOSIS',1773,'ESCHERICHIA COLI BL21(DE3)',469008,2.12,41.52,6,277,105,2002-10-07,1.5418,1.5,50,5.8,1.5,48.2,0.161,0.177,0.16,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.5,48.2,1380,0,231
5zrx,2018-04-25,,,,,2.00,38.62,7.0,289,100,2014-10-20,0.97915,1.500,50.000,3.600,1.5000,50,0.1458,0.1911,0.1434,THROUGHOUT,'MOLECULAR REPLACEMENT',1.2000,0.8000,1.5000,50,2007,0,273
3rbv,2011-03-30,'ACTINOMADURA KIJANIATA',46161,'ESCHERICHIA COLI',562,3.51,64.94,8.0,298,100,2011-01-10,1.5418,1.9,84.45,4.3,1.90,65,0.19333,0.22766,0.19149,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.90,65,2471,60,287
4c5p,2013-09-13,'MYCOBACTERIUM MARINUM',1781,'ESCHERICHIA COLI',469008,1.87,34.3,,,100,,0.916,1.59,38.80,6.7,1.592,38.820,0.1564,0.1935,0.1545,,OTHER,1.11,0.90,1.592,38.820,2062,17,284
4lix,2013-07-04,'ARABIDOPSIS THALIANA',3702,'ESCHERICHIA COLI',562,2.25,45.41,5.4,288,100,2011-01-26,0.9795,1.55,50.00,5.8,1.548,38.215,0.1696,0.1962,0.1691,THROUGHOUT,'MOLECULAR REPLACEMENT',1.11,0.90,1.548,38.215,5566,40,673
5yal,2017-09-01,'STREPTOMYCES CINNAMONEUS',53446,'ESCHERICHIA COLI',562,2.20,44.18,,293,100,2014-05-11,0.9,1.50,42.4,3.8,1.50,42.39,0.18096,0.20094,0.17992,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.50,42.39,2610,11,223
